12734,RZ-249862-16,"The concepts of ""Contact"" and ""Cultural Exchange"" have been complicated by an increased interest in polyfocal geographical and cultural imaginaries:  what comes into contact in the Age of Encounters are not identities or cultures with objective existences but, on every side, conceptions of the world and ways of being in it and the cultural techniques that organized such ideas and activities—ideas and activities that were themselves undergoing intensive and continual redefinition under the impact of the encounters.  We invite papers that address the encounters of the Early Modern period as meetings of symbolic economies and modalities of representation. We invite specialists from multiple fields to lead us inside particular geographical and cultural imaginaries. Those who study European explorations might contend with open questions, such as: Were the Yucatan and California islands? How large was the Pacific and was it an ocean? Was Cathay near Ochelaga (Montreal)? Was Ophir located in newly discovered lands, and where? Did the Japanese wear feathers? Should Mixtec masks be classified with Asian artifacts in European collections? Did Native Americans use parasols, did dragonfruit grow in the New World, and were there elephants in Patagonia? And who were ""Indians""? Asianists and New World scholars will have a corresponding series of questions posed from the point of view of their protagonists. In what ways were larger geographies and conceptions of other cultures applied and subject to change in this period? How did artists, writers, and cartographers, manage conflicting sources and their own preconceptions of the globe?","Alexander Nagel, Elizabeth Horodowich","March 31, 2017","Renaissance Society of America Conference, Chicago",,,,,Malleable Geographies in the First Global Age
12789,HK-50161-14,"The 2nd international workshop, Collaborative Annotations in Shared Environments: Metadata, Tools, and Techniques in the Digital Humanities (DH-CASE II), which took place in Fort Collins, CO as part of the 2014 DocEng conference, was organized by Patrick Schmitz, Laurie Pearce, and Quinn Dombrowski.","Quinn Dombrowski, Patrick Schmitz, Laurie Pearce",09/16/2014,"Fort Collins, CO",http://live-berkeleyprosopographyservices.pantheon.berkeley.edu/wp-content/uploads/2015/12/DH-CASE II Collaborative Annotations on.pdf,PDF of preface to the Proceedings of the Workshop,,,CH-CASE II Workshop
12790,HK-50161-14,"The BPS Matrix Workshop, generously funded by the UC Berkeley Social Science Matrix, focused on the integration of Social Network Analysis (SNA) visualization tools into partner projects and the transformation of data sets (in csv format) into TEI for use in BPS.","Laurie Pearce, Patrick Schmitz","April 28-29, 2016",UC Berkeley,,,,,BPS Matrix Workshop
12791,HK-50161-14,"This workshop, which brought together researchers from Berkeley and LMU, centered around the potential for BPS to be used in Neo-Assyrian prosopography.  This has set the stage for future collaborations.","Niek Veldhuis, Laurie Pearce, Patrick Schmitz","September 9-11, 2017",UC Berkeley,http://live-berkeleyprosopographyservices.pantheon.berkeley.edu/wp-content/uploads/2015/12/2017UCB-LMU-Workshop.pptx,A PDF of slides of the presentation by Laurie Pearce.,,,UCB-LMU Workshop
12796,AK-255344-17,"Dr. Denise Mitten of Prescott College, and Emily Shields, Executive Director of Iowa Campus Compact, examine best practices for engaging students in high impact practices that develop civic engagement and ecoliteracy on the part of students.  Introductory remarks by Dr. Christoffer Lammer-Heindel, Loras College.  (Eighteen faculty from Loras College and two other area institutions, Clarke University and the University of Dubuque, participated in the workshop.)","Denise Mitten (Prescott College), Emily Shields (Iowa Campus Compact), Christoffer Lammer-Heindel (Loras College)",09/09/2017,"Loras College (Academic Resource Center), 1450 Alta Vista Street, Dubuque, IA 52001",https://buildingecoliteracy.wordpress.com/2017/08/31/workshop/,Project webpage announcement.,https://buildingecoliteracy.files.wordpress.com/2018/05/ecoliteracy civic-action-workshop-1.pdf,"Promotional poster, which was distributed on the Loras College campus and to other area institutions (Clarke University and the University of Dubuque).",High Impact Practices for Developing Ecoliteracy and Civic Action
12799,AK-255344-17,"On November 29 and 30, Loras College will host an online mini-conference, ""Radical Climate Justice and the Humanities,"" featuring John Foran, professor of sociology at UC Santa Barbara, and Ken Hiltner, professor of environmental humanities at UC Santa Barbara. The conference is made possible by a Humanities Connections grant from the National Endowment for the Humanities. Participation is free and open to anyone in the world with internet access.","Benjamin Darr, Organizer (Loras College), Christoffer Lammer-Heindel, Organizer (Loras College), John Foran, Speaker (UC Santa Barbara), Ken Hiltner, Speaker (UC Santa Barbara)",11/29/2017-11/30/2017,"Loras College, 1450 Alta Vista Street, Dubuque, IA 52001",https://climatejusticehumanities.org,"Webpage for the mini-conference, including free registration.",,,Radical Climate Justice and the Humanities (Online Mini-Conference)
12896,AC-226779-15,"The project spearheaded faculty development spaces within which presentations from, and discussions with, NYU faculty prompted BMCC faculty to disseminate knowledge, explore ideas on best (classroom) practices, and develop their own thoughts and approaches regarding global issues, thus refining the latters' courses to create a more integrated learning experience for students.   Subsequent monthly Pedagogical Strategies workshops, each focused on one competency, and to which all faculty and administrators of the BMCC academic community were invited, brought together workshop participants to provide ""status reports"" regarding the curricula changes they implemented concerning the particular global competencies they chose to nurture",,Fall 2015 - Spring 2017,"Borough of Manhattan Commuinity College, CUNY",,,,,"Faculty Development, as well as Pedagogical Strategies, Workshops for the fall 2015, summer 2016, and fall 2016 cohorts"
12960,FT-61594-14,"This talk is based on one of the chapters from Professor Valeria Sobol's book in progress, Haunted Empire: The Gothic and the Russian Imperial Uncanny, 1790-1850. The book explores the connection between the Gothic and empire in Russian literature, focusing on the portrayal of Northern and Southern imperial borderlands as uncanny spaces. In this lecture, Professor Sobol will discuss the image of ""gloomy"" and Gothic Finland constructed in Russian literary and ethnographic publications of the 1840s. While being intimately linked to Russian foundational narratives, such the ""invitation of the Varangians"" and the construction of St. Petersburg, Finland emerged as an exotic and mysterious land after its incorporation into the Russian empire in the early nineteenth century. Finland's ambivalent status in the Russian cultural imagination, along with the Gothic connotations of its majestic sublime landscape and its reputation as a ""land of wizards,"" made it a particularly apt setting for the Russian imperial uncanny. The lecture will offer a brief analysis of Vladimir Odoevsky's novella ""The Salamander"" (1844) meant to demonstrate this function of Finland in Russian Gothic literature. While most ethnographic and literary texts depict the Finns as a magic-prone, semi-mythological people destined by both history and geography to be ruled by others and enthusiastically embracing the Russian civilizational mission, Odoevsky offers a far more complex and darker picture, using the narrative of the conquest of Finland to critique both Russia's historical path and Western modernity more generally.",Valeria Sobol,09/26/2017,"Russian, East European, and Eurasian Center, University of Illinois",https://calendars.illinois.edu/detail/7?eventId=33283765,,,,“‘Gloomy Finland’ and the Russian Imperial Gothic”
12961,FT-61594-14,"This talk will introduce my new book project, Haunted Empire: The Russian Literary Gothic and the Imperial Uncanny, 1790-1850, in which I investigate the connection between the Gothic elements found in numerous Russian literary works of the period and their imperial context. I argue that the persistent presence of Gothic tropes in Russian literature is not a just a tribute to a fashionable Western literary trend, as it is often interpreted; rather, I read it as a key literary form that dramatizes deep historical and cultural tensions, unique to the Russian imperial situation. Focusing on two spaces of internal otherness that figure prominently in the Russian Gothic—the Baltic/Scandinavian ""North"" and the Ukrainian ""South,""—I attempt to reconstruct the specifically Russian tradition of the ""imperial uncanny,"" a fictional space into which the Russian empire projected its colonial fantasies and anxieties and where it produced the doubles and monsters that continue to haunt Russia's historical imagination.",Valeria Sobol,April 2016,"Department of Slavic Languages and Literatures, Stanford University",,,,,"“Haunted Empire: The Russian Literary Gothic and the Imperial Uncanny, 1790-1850.”"
12962,FT-61594-14,"In this talk I introduced my new book project, Haunted Empire: The Russian Literary Gothic and the Imperial Uncanny, 1790-1850, in which I investigate the connection between the Gothic elements found in numerous Russian literary works of the period and their imperial context. I argue that the persistent presence of Gothic tropes in Russian literature is not a just a tribute to a fashionable Western literary trend, as it is often interpreted; rather, I read it as a key literary form that dramatizes deep historical and cultural tensions, unique to the Russian imperial situation. Focusing on two spaces of internal otherness that figure prominently in the Russian Gothic—the Baltic/Scandinavian ""North"" and the Ukrainian ""South,""—I attempt to reconstruct the specifically Russian tradition of the ""imperial uncanny,"" a fictional space into which the Russian empire projected its colonial fantasies and anxieties and where it produced the doubles and monsters that continue to haunt Russia's historical imagination. In this talk, I focused on the ""Ukrainian"" part of my book and especially the last chapter that examines Panteleimon Kulish's first historical novel  Mikhailo Charnyshenko, or Little Russia Eighty Years Ago.",Valeria Sobol,May 2015,"Chair of Slavic Literatures and Cultures, University of Passau, Germany",https://www.phil.uni-passau.de/aktuelles/meldung/detail/haunted-empire-the-russian-literary-gothic-and-the-imperial-ucanny-1750-1850/,,,,"“Haunted Empire: The Russian Literary Gothic and the Imperial Uncanny, 1790-1850.”"
12963,FT-61594-14,"This presentation is part of my book project, Haunted Empire: The Russian Literary Gothic and the Imperial Uncanny, 1790-1850. The book argues that in Russian literature the empire's peripheries are consistently depicted as dangerous, ambiguous places that destabilize the characters' imperial identities. They become sites of the imperial uncanny, a fictional space into which the empire projected its colonial fantasies and anxieties and where, through Gothic tropes, it produced the doubles and monsters that continue to haunt Russia's historical imagination.  Haunted Empire focuses on two spaces of internal otherness that figure prominently in the Russian Gothic: the Baltic/Scandinavian ""North"" and the Ukrainian ""South."" In this presentation I will discuss the historical novel Mykhailo Charnyshenko, or Little Russia Eighty Years Ago written by prominent Ukrainian writer Panteleimon Kulish in 1843. The novel attempts to conjure the ghost of the Ukrainian ""authentic"" and heroic past, before the Russian empire fully incorporated this region in the late eighteenth century, and produces a vision of its relative cultural independence and chivalric tradition in Gothic-fantastic imagery. The mixed reception of the novel in the Russian press, ranging from admiration for its heroic and folkloric motifs to denying Ukraine any historical past whatsoever, encapsulates the imperial fantasies and fears provoked by the literature of the imperial uncanny.",Valeria Sobol,09/30/2014,,http://calendars.illinois.edu/detail/2750/32002891,,,,"“Gothic Ruins: The Ghost of the Ukrainian Past in Panteleimon Kulish’s Mykhailo Charnyshenko, or Little Russia Eighty Years Ago.”"
12970,FT-61611-14,"Literature has long been closely imbricated with practices of surveillance. Not only does literary production necessarily rely on practices of observation (either at the level of the individual or a broader collectives, as with the close synergy between the rise of the modern novel and Western imperial projects), literature itself has often been the object of close scrutiny by the state and other corporate entities. In this respect, literary representation anticipates—and is symptomatic of—a broader array of technologically-based surveillance practices that have emerged in the modern period. As technological advances continue to enhance the ability of states and corporations to surveil the public, even as the public is also increasingly able to deploy similar technologies to its own ends—including efforts to surveil the operation of the surveillance apparatus itself. This latter practice of counter-surveillance is particularly evident in the ways that citizen videos (and the public circulation of videos originally produced by the state) have helped precipitate a national debate in the US over police brutality, but it also has much broader ramifications.  Our panel will examine some of the implications of these developments as they pertain to the new security state. We are interested not only in how issues of surveillance and counter-surveillance are addressed in literary works, but also how some of the discourses and visual archives generated by these surveillance practices may be approached as virtual literary works in their own right. Potential topics include examinations of state censorship regimes, social media and practices of collective authorship, surveillance video and found footage as a form of textual production, digital archives and shifting loci of identity, practices of exhibitionism and impersonation, selfies and confessional discourses, as well as advances in wearable technologies and cybernetic states.",Belinda Kong and Carlos Rojas (seminar co-chairs),"March 18-20, 2016","Harvard University, Cambridge, MA",https://www.acla.org/sites/default/files/files/Full Program Guide 2016.pdf,ACLA 2016 conference program,,,"The New Security State: Surveillance, Counter-Surveillance, and Strategies of Resistance"
12975,FT-61611-14,"The image of rising Asia as a new economic power has by now become a global commonplace, and Asian as well as Asian diasporic writers—from Mohsin Hamid to Tash Aw, Kyung-Sook Shin to Yu Hua—have variously depicted Asian modes of capitalism.  Of particular prominence in recent literature is a spotlight on the body in this era of Asian capital.  Narratives of cannibalism, organ harvesting, agribusiness, and epidemics abound.  Indeed, social scientists have for over a decade called attention to the distinctive ways capitalism intersects with biopolitics in Asia, in such areas as biotechnology and genomics, the organ trade and human trafficking, population control and family planning policies, as well as transformations of bodily life more generally in capitalizing countries.  This panel invites papers that explore the theme of ""biocapitalism"" in contemporary Asian fiction broadly defined, Anglophone or otherwise.",Belinda Kong (seminar chair),"March 21-22, 2014","New York University, New York, NY",https://www.acla.org/sites/default/files/files/Full Program Guide 2014.pdf,ACLA 2014 Conference program,,,Asian Biocapitals
13037,FA-251744-17,"When uncertainty is high, and verifiable facts are inconvenient or few, how do individuals learn what to fear and how to respond to the threats they have identified? Coupling findings from recent breakthroughs in cognitive science and psychology with theoretical insights from political science, this paper presents a theory to explain how invented, embellished or simply unverified sources of security-related information can be strategically deployed to materially inform and influence public opinion as well as foreign and defense policy formulation and implementation. I show how, by exploiting inherent human cognitive, psychological and biological limitations and predispositions, enterprising actors both inside and outside governments—""merchants of menace,"" if you will—can strategically and successfully employ EFI to transform vague, (often) inchoate, and sometimes remote, objective sources of anxiety into proximate, and even existentially menacing, albeit unverifiable, threats to domestic and/or international security. This transmutation happens through a process I call ""threat conflation,"" which is related to, but distinct from, its heretofore more thoroughly explored cousin ""threat inflation."" The theory is then tested using the case of the decision-making process in the lead-up to the 2003 US-led invasion of Iraq (and against the most plausible alternative explanations for the invasion).",Kelly M. Greenhill,March 2017; April 2017,"Baltimore, MD; Clinton, NY",,,,,True Lies: Threat Conflation and the 2003 Invasion of Iraq.
13039,FA-251744-17,"Rumors are ubiquitous, and their adoption and diffusion have been linked to episodes of political instability, violence and the eruption of war. But not all rumors survive or proliferate, and only some of those that do are disseminated widely enough to influence patterns of collective violence. A critical type of filtering occurs at the individual level: individuals have to assess whether to accept or dismiss new information, and the plausibility and credibility of a rumor's source are thought to be key factors in this decision-making process. Drawing upon original survey data from civil war affected areas in southern Thailand and the Philippines, this article examines where civilians turn to for information when verifiable facts are in short supply, and explores the impact of information source on the uptake and diffusion of rumors. Existing theories offer competing propositions about the relative importance of elites, the media and social and kinship networks in rumor uptake and diffusion. Our findings suggest that local elites can play a singular role: even though they may rarely be the primary source of unverified information, they are highly influential when they do spread a rumor, particularly one about which they might be expected to have inside knowledge.","Kelly M. Greenhill, Ben Oppenheim",2017-18,,,,,,A Likely Story? The Effect of Information Source on the Credibility and Diffusion of Rumors in Conflict Areas
13040,FA-251744-17,"ecent shifts in the media ecosystem raise new concerns about the vulnerability of democratic societies to fake news and the public's limited ability to contain it. Fake news as a form of misinformation benefits from the fast pace that information travels in today's media ecosystem, in particular across social media platforms. An abundance of information sources online leads individuals to rely heavily on heuristics and social cues in order to determine the credibility of information and to shape their beliefs, which are in turn extremely difficult to correct or change. The relatively small, but constantly changing, number of sources that produce misinformation on social media offers both a challenge for real-time detection algorithms and a promise for more targeted socio-technical interventions.",See https://shorensteincenter.org/combating-fake-news-agenda-for-research/,February-April 2017,"Cambridge and Boston, MA",,,,,Combating Fake News: An Agenda for Research and Action
13044,FA-251744-17,Office of Net Assessment Meeting on Societal Warfare,Kelly M. Greenhill,"June 29, 2017","Washington, DC",,,,,Information and Other Influence Operations
13045,FA-251744-17,Part of DOD's SMA Lecture/Seminar Series,Kelly M. Greenhill,"June 19, 2017","Virtual/Washington, DC",,,,,Combatting Fake News and Other Extra-factual Information
13080,FA-232431-16,"Ethnomusicology is often conceived as the study of cultural performances by living musicians and their roles in contemporary society. This implies that the field is lacking interest in historical approach to the formulation of performing arts. I argue that in order to fully understand any forms of contemporary performance genres, it is important to trace their historical formation and transformation. Formation refers to the process of formulating a certain genre in a particular period of history; transformation, the genre continues, change, modify, or disappear in accord with the changes of socio-cultural circumstances. This paper discusses contemporary gamelan and wayang from the above line of thoughts: in what ways and what is the result after the genres have to adjust themselves to certain historical and socio-cultural changes and the changing of artists' perspectives. Two main processes define the change and continuity of these performance genres: (1) the interaction between Java and other islands in Indonesia (intra-cultural interaction), and (2) the interaction between Java and foreign culture (inter-cultural interaction). I will illustrate the former by examining the dynamic historical relationship between Java and Bali, its impact on performing arts in both regions. For the latter, the relation between the West and Indonesia in the twentieth century will be discussed, particularly its impact on the content and context of contemporary wayang and gamelan.",Sumarsam,"August 27-29, 2017","Indonesian Institute of the Arts, Yogyakarta",,,,,Gamelan and Wayang as Inter- and Intra-Cultural Objects
13119,ZA-250650-16,Pamphlet outlining the contents of a week-long summer workshop held summer 2017.,,June 2017,The University of Texas at El Paso,http://www.utep.edu/graduate/PD,Links to career diversity/professional development site for students where the workshop brochure is posted.,,,Summer Workshop on Career Diversity
13271,RA-50003-03,"It has long been received wisdom that the Ottoman institution of the timar (fief / benefice / prebend) - which gave a virtual caste of cavalry or other servants of the state the right to tax peasant agriculture in exchange for military or other service - was a linchpin of that state's organization. Moreover, the timar is widely considered as crucial for the successful workings of the empire during the fifteenth and sixteenth centuries as, for example, the kapikuli (""slave of the Porte"") military-administrative institution. The argument continues that the timar institution essentially became defunct by the seventeenth century, thanks to the adoption of viable gunpowder weaponry, inflationary pressures in Ottoman currency, and corruption. This seminar will offer a fresh look at these commonplaces in light of the problem of the survival of mountains of documents and defters—today mostly unseen or ignored—that suggest an institution that did not lose its vigour in the post-classical age and will consider the question, ""Who are the ‘zombies,‘ Ottoman timariots or Ottomanist historians?""",Victor Ostapchuk,02/15/2018,University of Toronto Seminar in Ottoman and Turkish Studies,https://humanities.utoronto.ca/event details/id=3485,Event announcement,,,Ottoman Timariot Cavalry in its Seventeenth-Century Twilight: A Resilient or “Zombie” Institution?
13307,RQ-230397-15,Introduction to Babylonian and Assyrian text commentaries to an audience of Judaic Studies scholars.,Eckart Frahm,"February 22, 2016","The Jewish Theological Seminary, New York City",,,,,"Babylonian and Assyrian Text Commentaries: History, Typology, Comparative Perspectives"
13310,RQ-230397-15,Socio-cultural context of medical and astrological commentaries from Babylonia and Assyria.,Eckart Frahm,08/25/2016,"Berlin, Max-Planck Institute for the History of Science",,,,,"Cuneiform Commentaries on Medicine and Astrology in their Institutional, Geographical, and Diachronic Contexts"
13311,RQ-230397-15,"Analysis of adaptations and reinterpretations of the cultic acts performed and the texts recited during the Babylonian Akitu festival. Lecture at the interdisciplinary conference ""Ritual Landscapes and Performance.""",Eckart Frahm,09/24/2016,"New Haven, Yale University",,,,,"Revision, Relocation, and Reinterpretation: Remarks on the Ritual Dynamics of the Babylonian Akitu Festival in the Seventh Century BCE"
13361,RA-50142-14,"Though the origins of scientific psychology in the U.S. are usually traced to the Harvard psychological laboratory established by William James in 1875, experimentation with mental phenomena had a long history as a public practice, a citizen science that pursued what James called ""wild facts"" embedded in everyday experience. This science, termed ""psychical research"", encompassed studies of telepathy, clairvoyance, mediumship, and the emerging notion of a ""subliminal"" or unconscious self. The Astonishment of Experience shows how field sciences like meteorology and astronomy became models for psychical research, which in turn shaped the professional formation of psychology and its maligned double, parapsychology, in the early twentieth century. Spanning laboratories and asylums, cushioned parlors and remote weather stations, this project presents an expansive vision of how the mind sciences became a site of curiosity, hope, and danger for turn-of-the-century Americans living through unprecedented transformations of subjectivity.",Alicia Puglionesi,09/15/2017,Stanford University,https://anthropology.stanford.edu/events/cultures-minds-and-medicines/astonishment-experience-psychology-citizen-science,Stanford Department of Anthropology web page,,,"""The Astonishment of Experience: Psychology as a Citizen Science"""
13387,ZA-250732-16,"Our careers conference on Saturday, April 22, 2017 was perhaps our most significant accomplishment for the year.  The day-long, intensive conference had about 70 attendees, including 12 alums, 12 faculty, 7 speakers, and 36 students, all of whom participated in every event throughout the day.  We described our take-away from the conference in the campus section of Europe Now, published by the Council of European Studies.",,"Saturday, April 22, 2017",Binghamton University,https://www.binghamton.edu/harpur/phd-careers-conference/index.html,Conference website,,,PhD Careers Conference
13395,PR-234235-16,"The creation, management, sharing, and preservation of digital data and media have gained great prominence in archaeological research, grant making, policy making, and software and systems development. Digital data has much promise. It can help us engage with wider communities, explore new research questions, and create and preserve a vastly enriched body of archaeological documentation. Digital data also has a certain glamor, gained in large part through its associations with the burgeoning tech industry. However, does our celebration of speed, efficiency, precision and innovation sometimes make technology a superficial distraction rather than a substantive means toward learning? How do we encourage more meaningful intellectual engagement with new media as they transform archaeology? This conference represents an opportunity to take stock and more thoughtfully consider how our embracement of digital technologies is transforming archaeological practice. (This was a one-day conference organized by Organized by Rowan Flad, Chair of the Standing Committee on Archaeology, Harvard University &amp; Eric Kansa, Program Director, Open Context.)",Eric Kansa,02/03/2017,"Harvard University, Cambridge, MA",https://archaeology.harvard.edu/critical-perspectives-practice-digital-archaeology,Conference overview and list of speakers.,https://web.archive.org/web/20180504220514/https://storify.com/skansa/critdigarch,Archived Storify with tweets and videos of the presentations.,Critical Perspectives on the Practice of Digital Archaeology
13402,AC-50194-14,"Houston is the most diverse city in the country, a diversity that is reflected in the city's food. You can eat Pakistani goat biryani, a Colombian empanada, a Uyghur meat pie, Vietnamese bún bò hu?, Viet-Cajun crawfish, Nigerian egusi soup, a cheese enchilada, Gulf oysters and more all in a five-mile radius.   Over the course of the two-day conference, historians, farmers, food writers, sociologists, activists, and artists will explore the origins of that diversity, how it impacts the way the city eats now, and what it means for the region's future.   The conference opens Friday, February 2nd  with a keynote by Dr. Tyina L. Steptoe, author of Houston Bound: Culture and Color in a Jim Crow City, Texan, and associate professor of History at the University of Arizona in Tucson. The event will culminate on the evening of Saturday, February 3rd with a conversation between the Houston Chronicle's restaurant critic Alison Cook, the winner of three James Beard awards, and two of of Houston's premier restaurateurs, Sylvia Casares, chef and owner of Sylvia's Enchilada Kitchen and author of The Enchilada Queen Cookbook, and Kaiser Lashkari, chef and owner of Himalaya Restaurant.  Between Friday morning and Saturday evening, attendees will also hear from Houston-raised historian of the Vietnamese immigrant experience Roy Vu and Houston Chronicle barbecue columnist J.C. Reid, and Mikaela Selley, Hispanic Collections Archivist at Houston Metropolitan Research Center, will discuss the history of Mexican restaurants and tortilla factories. This is just a sampling of the many interesting topics and presenters at the conference.    The event is free and open to the public. The conference is organized by the Gulf Coast Food Project and Foodways Texas and is generously supported by the National Endowment for the Humanities, the University of Houston Center for Public History Lecture Series, and the Conrad N. Hilton College of Hotel and Restaurant Management.","R. Todd Romero, Monica Perales",2/2-2/3/2018,University of Houston,,,,,"Houston Eats! Texas Gulf Coast Food in the Past, Present, and Future"
13692,AQ-248310-16,"*Conference Description* A liberal arts education has always had the ability to transform a student, and thus to transform how they choose to organize their time in adult life: both the time they spend at work and the time they spend at leisure. Yet the factors influencing what sorts of work and what sorts of leisure are available are in a state of increasing flux.  From AI-driven automation, to globalization, to infinite entertainment delivered instantly to the palm of your hand, the general conditions of work and leisure are undergoing a radical transformation.  In this shifting landscape, what role do the liberal arts have to play?  In addition to a liberal education being valuable for its own sake, how can it prepare students for an economy in which whole sectors of work may rapidly shrink or disappear, e.g., through off-shoring or automation?  And how can it help students develop the habit of spending their free time well, in the face of endless possibilities for distraction?  This conference will seek answers to these questions.",Jon K. Burmeister,"Thursday, April 5th, 2018","Boston College, Cushing Hall 001",https://workandleisure.org/#2018conf,,,,Conference: Liberal Arts and the Future of Work and Leisure
13974,RZ-249862-16,"What did Asia look like to early modern Europeans? Through a closer look at a variety of early modern European sources including printed texts, maps, Mesoamerican codices, and objects held in early modern European cabinets of curiosity, this panel explores some of the surprising and unpredictable ways that Europeans understood Asia in the century following the Columbian voyages. Copious European accounts depicted America as Asia by mapping both onto one ""Amerasian"" continent, where Mexico was India, North America was an extension of China, and South America was populated by a variety of biblical and Asian sites. ""New Worlds"" discovered to the East and West of Europe were understood to be convergent; as a result, European collectors sometimes labeled Mexican objects as Chinese, and as late as 1600, European missionaries believed they were baptizing the Indians of Asia. Other sources portrayed China as a superior civilization, but one that Europeans hoped to rival, intellectually and culturally. Far from simply portraying Asia as generically exotic or foreign, these papers explore the myriad and flexible ways that early modern Europeans employed representations of Asia: as a means of grappling with an expanding knowledge of global geography in the sixteenth century, and as a global standard of civilization to which Europeans could compare themselves. In the same period that Europe was coming into cultural self-definition, malleable representations of Asia helped Europeans to define their own global identity.",,"March 25, 2018","Association of Asian Studies Conference, Marriott Wardman Park Hotel, Washington, DC",,,,,Asia in the European Imagination in the Early Modern Period
14007,FT-260249-18,"His current book project analyzes the influence of Reformation and Enlightenment ideas on the Russian Orthodox Church during the era of great reforms of the long eighteenth century (1700-1825). Drawing on previously overlooked sources in Halle, Wolfenbüttel, Moscow, St. Petersburg, Rome, and elsewhere, his study will place Russia, its empire, and the Orthodox Church into the wider intellectual continuum of the European Reformations, early modern confessionalization, and the early religious and secular Enlightenments that were so fundamental to the rise of modernity on the European continent and beyond.  Dr. Ivanov has published his research in the Sixteenth Century Journal, Journal of Early Modern History, and Vivliofika, as well as in other publications. He is a recipient of several doctoral and postdoctoral awards, including grants and fellowships from the Institute for Research in the Humanities at UW-Madison, the Herzog August Bibliothek Wolfenbüttel, the Edward J. Beinecke Rare Book and Manuscript Library at Yale University, the Josephine de Karman Foundation and the Smith Richardson Foundation at Yale, and the National Endowment for the Humanities. He is currently the Vice-President of the Eighteenth-Century Russian Studies Association.",Andrey Ivanov,2018,,https://ndias.nd.edu/events/2018/09/11/106289-andrey-ivanov-a-spiritual-revolution-the-impact-of-reformation-and-enlightenment-in-orthodox-russia/,,,,A Spiritual Revolution: The Impact of Reformation and Enlightenment in Orthodox Russia
14009,HT-256968-17,"The Digital Humanities Research Institute (DHRI) is a ten-day residential workshop held from June 11–20, 2018, hosted by Graduate Center Digital Initiatives and The Graduate Center, CUNY. Participants will develop core computational research skills through hands-on workshops, explore interdisciplinary digital humanities research and teaching with leading DH scholars, and begin developing versions of the DHRI for their own communities. Over the following academic year, each participant will have access to an online network of peers, as well as 20 hours of consultation from our experienced staff while they lead their own DHRI. Participants will return to New York in June 2019 to report on their experiences and contribute to a guide to leading DHRIs in a variety of institutional contexts.",Lisa Rhody,9/2017-8/2019,"The Graduate Center, CUNY, New York, NY",http://dhinstitutes.org/,,,,Digital Humanities Research Institute
14032,GW-259303-18,Copy of the two-day workshop agenda,PPO staff and GSC advisors,September 6-7. 2018,"Chicago, IL",https://s3.amazonaws.com/ala-ppo-general/trht/FinalAgenda EmpathyWorkshop Sept2018.pdf,Link to PDF of agenda,,,Agenda for GSC Orientation Workshop (Empathy Theme)
14104,FO-252221-17,"This paper introduced the key ideologies and personnel networks from Japan's colonial-wartime era, and showed how they played out at several development projects in Southeast Asia in the post-war.",Aaron S. Moore,"July 26, 2018","Tokyo, Japan",,,,,"“The Historical Boundaries of Japan’s ODA Projects: 1950s and 1960s 'Comprehensive Development Projects' and their Connection to the Pre-War Era"""
14105,FO-252221-17,Talk to grant foundation on ways in which histories of the Japanese empire can better inform the work of historians working on modern Japanese history.,Aaron S. Moore,January 2018,"Pomona, CA",,,,,"“The Colonial and the Post-Colonial: Histories of Technology in Japan’s Empire and its Aftermath,”"
14106,FO-252221-17,"This paper focuses on the Soyanggang Multi-Purpose Dam project (1967-1973), Asia's largest rock-fill dam and a prominent symbol of President Park Chung-hee's ""miracle of the Han"" development policies in South Korea. The project, paid for largely by Japanese government grants, loans, and credits from the 1965 Normalization Treaty that settled all claims from the colonial past, was supervised by Japan's leading development consultancy, Nippon Koei, a company that was run by former colonial engineers who had built what was equivalent to Japan's entire domestic power production capacity during the colonial/wartime era in northern Korea. I argue that analyzing the power relations at different scales within transnational flows of ideals, materials, people, and capital around large-scale technical structures such as dams, which emerged out of entangled histories of Japanese colonial rule and the rise of the US Cold War order in East Asia, constitutes a promising direction in Asian environmental humanities.",Aaron S. Moore,Dec 2017,"Durham, NC",,,http://https://igs.duke.edu/events/scalar-effects-management-water-power-post-war-east-asia,,"“Dams as Assemblages of Power: Japanese Engineers and the Post-Colonial, Cold War System of Development in South Korea"""
14151,FA-252575-17,"""Wednesday Wisdom"" roundtable discussion of German thought in W.E.B. Du Bois's The Souls of Black Folk.",Michael Saman,02/16/2008,"W.E.B. Du Bois Center, University of Massachusetts, Amherst",https://www.masslive.com/news/index.ssf/2018/02/umass great barrington celebra.html,,,,The Voice of Time: Classical German Thought and the Ethics of Progress in W.E.B. Du Bois’s Souls of Black Folk
